theme,trigger_type,keyword
rain,keyword,雨
agriculture,harvest_expression,受年
agriculture,harvest_expression,穜年
agriculture,harvest_expression,大年
agriculture,harvest_expression,有年
agriculture,harvest_expression,无年
agriculture,harvest_expression,不年
agriculture,harvest_expression,年丰
agriculture,harvest_expression,年不
agriculture,harvest_expression,年其
agriculture,harvest_expression,年亡
agriculture,crop_name,禾
agriculture,crop_name,穜
agriculture,crop_name,黍
agriculture,crop_name,粟
agriculture,crop_name,稻
agriculture,crop_name,麦
war,military_verb,伐
war,military_verb,寇
ritual,strong_verb,祭
ritual,strong_verb,尞
ritual,strong_verb,禱
ritual,strong_verb,鬯
ritual,strong_verb,侑
ritual,strong_verb,御
ritual,strong_verb,彡
ritual,strong_verb,燎
ritual,strong_verb,宇
ritual,weak_verb,佑
ritual,weak_verb,歲
ritual,weak_verb,告
ritual,weak_verb,宜
ritual,ancestor,父丁
ritual,ancestor,父甲
ritual,ancestor,父乙
ritual,ancestor,父丙
ritual,ancestor,父庚
ritual,ancestor,父辛
ritual,ancestor,父壬
ritual,ancestor,父癸
ritual,ancestor,妣丁
ritual,ancestor,妣甲
ritual,ancestor,妣乙
ritual,ancestor,妣丙
ritual,ancestor,妣庚
ritual,ancestor,妣辛
ritual,ancestor,妣壬
ritual,ancestor,妣癸
ritual,ancestor,祖乙
ritual,ancestor,祖甲
ritual,ancestor,祖丁
ritual,ancestor,祖辛
ritual,ancestor,祖庚
ritual,ancestor,大甲
ritual,ancestor,大乙
ritual,ancestor,大丁
ritual,ancestor,小乙
ritual,ancestor,小辛
ritual,ancestor,小甲
ritual,ancestor,中宗
ritual,ancestor,示壬
ritual,ancestor,母辛
ritual,ancestor,母己
ritual,ancestor,母庚
ritual,ancestor,母癸
ritual,nature_deity,帝
ritual,nature_deity,河
ritual,nature_deity,岳
ritual,nature_deity,土
spatial,direction,东
spatial,direction,东方
spatial,direction,西
spatial,direction,西方
spatial,direction,南
spatial,direction,南方
spatial,direction,北
spatial,direction,北方
spatial,direction,上
spatial,direction,下
spatial,direction,中
spatial,direction,中方
spatial,direction,左
spatial,direction,右
spatial,direction,前
spatial,direction,后
spatial,place_name,羌
spatial,place_name,戎
spatial,place_name,土
spatial,place_name,召
spatial,place_name,鬼
